n,algorithm,time_ns,lang
1000,naive_cpp,2613152,cpp
1000,sliding_cpp,8730,cpp
1000,naive_go,620768,go
1000,sliding_go,1268,go
5000,naive_cpp,31613806,cpp
5000,sliding_cpp,9480,cpp
5000,naive_go,14656078,go
5000,sliding_go,7082,go
10000,naive_cpp,96252694,cpp
10000,sliding_cpp,17549,cpp
10000,naive_go,25624542,go
10000,sliding_go,6155,go
50000,naive_cpp,2403352305,cpp
50000,sliding_cpp,99023,cpp
50000,naive_go,562882100,go
50000,sliding_go,32827,go
100000,naive_cpp,9649281441,cpp
100000,sliding_cpp,197777,cpp
100000,naive_go,2250516461,go
100000,sliding_go,70335,go
